,INSTNM,CITY,STABBR,PREDDEG,CONTROL,LOCALE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,NPT4_PUB,NPT4_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6,NET_COST,Binary_25k
4478,University of Phoenix-Northwest Arkansas Campus,Rogers,AR,3,3,13.0,,,,,,,,,0.0,375.0,0.3573,0.2693,0.0373,0.0027,0.008,0.0,0.016,0.0027,0.3067,0.0,,18537.0,0.7097,0.2973,,,,0.8046,0.8099,35500.0,394.122775,0.40653404299999996,0.173390323,,53400.0,0.705231071,18537.0,1.0
3153,Spa Tech Institute-Westbrook,Westbrook,ME,1,3,22.0,,,,,,,,,0.0,245.0,0.9469,0.0204,0.0122,0.0122,0.0,0.0,0.0,0.0,0.0082,0.2082,,11871.0,0.3584,,0.6774,,0.7143,0.5731,0.5224,6333.0,70.30928265,0.7242302540000001,,0.7630283240000001,22300.0,0.370843977,11871.0,0.0
609,Clemson University,Clemson,SC,3,1,21.0,610.0,635.0,550.0,29.0,,,,1259.0,0.0,16801.0,0.836,0.0626,0.0259,0.0177,0.0015,0.001,0.0211,0.0082,0.026,0.0481,12377.0,,0.1782,0.9194,,0.6429,,0.4174,0.0393,22388.5,248.5582464,0.9360260229999999,0.820604838,,49400.0,0.740391314,12377.0,1.0
5842,New York Medical Career Training Center,Flushing,NY,1,3,11.0,,,,,,,,,0.0,363.0,0.0468,0.2507,0.2121,0.4215,0.0138,0.0,0.0358,0.0083,0.011,0.7521,,13683.0,0.0984,,0.2679,,0.1164,0.0939,0.3168,4850.0,53.8449425,,,0.7722,,,13683.0,
3710,Taylor Andrews Academy-St George,St. George,UT,1,3,13.0,,,,,,,,,0.0,120.0,0.875,0.0,0.0333,0.0083,0.0083,0.0083,0.0417,0.0,0.025,0.3917,,9351.0,0.5459,,0.7119,,0.55,0.9135,0.2917,9919.5,110.12678500000001,,,0.94067161,,,9351.0,
1396,College of the Albemarle,Elizabeth City,NC,2,1,32.0,,,,,,,,,0.0,2147.0,0.6828,0.1966,0.0359,0.006999999999999999,0.0051,0.0387,0.0158,0.0,0.0182,0.4891,6355.0,,0.3985,,0.6136,,0.3598,0.0,0.3617,,,,,0.25885095399999997,23100.0,0.325526923,6355.0,0.0
5367,University at Buffalo,Buffalo,NY,3,1,21.0,550.0,605.0,,26.0,,,,1158.0,0.0,19365.0,0.4951,0.0675,0.0663,0.1286,0.0021,0.0008,0.0203,0.1637,0.0557,0.0812,15088.0,,0.2835,0.8759,,0.8056,,0.4677,0.0788,20100.0,223.15120499999998,0.880671726,0.711045393,,49700.0,0.736842096,15088.0,1.0
1770,Lawrence Technological University,Southfield,MI,3,2,13.0,555.0,590.0,535.0,25.0,25.0,26.0,,1145.0,0.0,3033.0,0.457,0.0557,0.0201,0.2298,0.0033,0.0003,0.0,0.0488,0.185,0.4936,,25658.0,0.1847,0.8179,,0.2941,,0.3302,0.15,27850.0,309.1920925,0.8171779140000001,0.505121233,,53700.0,0.707720578,25658.0,1.0
2242,University of Puget Sound,Tacoma,WA,3,2,12.0,620.0,605.0,610.0,28.0,28.0,27.0,9.0,1233.0,0.0,2542.0,0.7506,0.0083,0.0724,0.0688,0.0016,0.0004,0.0893,0.0028,0.0059,0.0079,,32115.0,0.2071,0.8669,,,,0.5632,0.022,23500.0,260.898175,0.941446613,0.775436115,,51500.0,0.701277971,32115.0,1.0
3437,Pat Wilson's Beauty College,Henderson,KY,1,3,22.0,,,,,,,,,0.0,73.0,0.726,0.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3973,,6409.0,0.2083,,0.8571,,0.8333,0.0,0.5342,,,,,0.947354386,,,6409.0,
