INSTNM,CITY,STABBR,PREDDEG,CONTROL,LOCALE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,NPT4_PUB,NPT4_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6
Trinity College of Florida,Trinity,FL,3,2,21,,,,,,,,,0,222,0.5045,0.2252,0.2027,0.0135,0,0,0.0045,0.0225,0.027,0.0901,,15563,0.566,0.6071,,0,,0.6557,0.4286,23000,255.34715,0.673076923,0.48001,,31700,0.425287366
Hampton University,Hampton,VA,3,2,12,505,500,,21,21,21,,990,0,3529,0.0315,0.932,0.0113,0.0096,0.0011,0,0,0.0145,0,0.053,,23373,0.3912,0.7554,,0.75,,0.2978,0.1072,27474,305.0177217,0.678118393,0.634160079,,42200,0.644176126
Empire Beauty School-Dixie,Louisville,KY,1,3,11,,,,,,,,,0,123,0.1789,0.748,0,0,0,0,0.0163,0,0.0569,0.1301,,12096,0.8545,,0.7826,,0.2,0.7136,0.3902,8275,91.86946375,0.669099757,,0.390740397,14800,0.224137932
Borner's Barber College,Los Angeles,CA,1,3,11,,,,,,,,,0,23,0.087,0.6522,0.2609,0,0,0,0,0,0,0.8261,,,0.8276,,1,,0.3,0,0.8261,,,PrivacySuppressed,,PrivacySuppressed,,
ITT Technical Institute-Lake Mary,Lake Mary,FL,2,3,21,,,,,,,,,0,269,0.5316,0.223,0.1636,0.0223,0.0074,0,0.0149,0,0.0372,0.3197,,23072,0.6796,,,,,0.8343,0.8401,25833.5,286.8048087,0.394119686,0.35041453,,38400,0.591855824
Hays Academy of Hair Design,Salina,KS,1,3,33,,,,,,,,,0,63,0.7937,0,0.1111,0,0.0159,0,0.0159,0.0159,0.0476,0,,11858,0.7922,,0.8182,,,0.8182,0.3175,9833,109.1664577,0.674698795,,,,
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,2,2,11,,,,,,,,,0,258,0.4612,0.0775,0.1512,0.0116,0.0233,0.0039,0.0271,0.2248,0.0194,0,,41436,0.4163,,0.633,,,0.5701,0.1589,13240,146.991142,0.681818182,,0.634754783,30200,0.416666657
Troy University-Phenix City Campus,Phenix City,AL,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26000,288.6533,0.543508214,,,36600,0.613958538
The College of Wooster,Wooster,OH,3,2,32,610,605,605,28,28,26,8,1231,0,2070,0.7188,0.0792,0.0401,0.0338,0.0145,0.001,0,0.0725,0.0401,0.0048,,21455,0.1938,0.8709,,,,0.5144,0.008,25500,283.102275,0.9125,0.753638017,,44400,0.660766959
University of Baltimore,Baltimore,MD,3,1,11,480,460,455,,,,,940,0,3479,0.3521,0.4622,0.0471,0.0443,0.0046,0.002,0.031,0.0216,0.0351,0.4076,16780,,0.4264,0.6744,,1,,0.5768,0.5085,20500,227.592025,0.684303351,0.3759,,58000,0.824536383
