,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,INSTNM,CITY,STABBR,PREDDEG,CONTROL,LOCALE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,NPT4_PUB,NPT4_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6
60,181,312,5708,5708,Rudae's School of Beauty Culture-Ft Wayne,Fort Wayne,IN,1,3,11.0,,,,,,,,,0.0,138.0,0.8406,0.0797,0.0217,0.0,0.0072,0.0,0.0217,0.0,0.029,0.1884,,11327.0,0.5271,,1.0,,0.5,0.6404,0.2826,9500,105.469475,0.785953177,,0.812088591,13600,0.207253888
227,267,473,279,279,Le Cordon Bleu College of Culinary Arts-San Francisco,San Francisco,CA,1,3,11.0,,,,,,,,,0.0,489.0,0.0286,0.0061,0.0184,0.0429,0.002,0.0,0.0143,0.0,0.8875,0.0,,18868.0,0.4066,,0.7944,,,0.5669,0.544,12136,134.7344788,0.574247144,,0.572647423,32800,0.58801496
322,99,486,3540,3540,St Margaret School of Nursing,Pittsburgh,PA,1,2,21.0,465.0,465.0,,,,,,930.0,0.0,184.0,0.9348,0.0435,0.0054,0.0,0.0,0.0054,0.0,0.0,0.0109,0.375,,,0.374,,,,,0.2846,0.6087,16648,184.8269284,0.862903226,,0.734360938,PrivacySuppressed,0.877358496
318,149,452,6256,6256,Regency Beauty Institute-Madison,Madison,WI,1,3,12.0,,,,,,,,,0.0,49.0,0.3469,0.0816,0.0204,0.0,0.0,0.0,0.102,0.0,0.449,0.0,,20455.0,0.7609,,0.85,,,0.7391,0.3469,14144,157.0273952,0.47496977,,0.445325,19600,0.333333343
17,16,204,5707,5707,Westwood College-Anaheim,Anaheim,CA,3,3,11.0,,,,,,,,,0.0,772.0,0.1826,0.0168,0.1891,0.0324,0.0078,0.0078,0.0972,0.0,0.4663,0.2694,,21207.0,0.7884,0.6087,,1.0,,0.8367,0.3756,38747.5,430.1766824,0.471415292,0.488014671,,35000,0.544390082
24,60,305,3722,3722,Clemson University,Clemson,SC,3,1,21.0,610.0,635.0,550.0,29.0,,,,1259.0,0.0,16801.0,0.836,0.0626,0.0259,0.0177,0.0015,0.001,0.0211,0.0082,0.026,0.0481,12377.0,,0.1782,0.9194,,0.6429,,0.4174,0.0393,22388.5,248.5582464,0.936026023,0.820604838,,49400,0.740391314
137,86,494,1833,1833,Lincoln Technical Institute-Somerville,Somerville,MA,1,3,21.0,,,,,,,,,0.0,331.0,0.1843,0.3384,0.2961,0.0574,0.0,0.003,0.0453,0.0,0.0755,0.3595,,15654.0,0.7062,,0.7288,,0.5,0.7611,0.4804,9504,105.5138832,0.390612133,,0.534474061,31200,0.473020315
124,229,390,2827,2827,Farmingdale State College,Farmingdale,NY,3,1,21.0,470.0,495.0,,21.0,,,,969.0,0.0,7455.0,0.6145,0.1057,0.1543,0.0699,0.002,0.0048,0.0168,0.0276,0.0044,0.2072,10590.0,,0.2708,0.8234,,0.25,,0.3193,0.2464,15393,170.8938557,0.857230769,0.4462,,45600,0.693877578
294,243,35,7127,7127,ITT Technical Institute-Las Vegas,North Las Vegas,NV,2,3,21.0,,,,,,,,,0.0,569.0,0.29,0.2794,0.246,0.065,0.0123,0.0035,0.0685,0.0,0.0351,0.2302,,24450.0,0.7101,,,,,0.7681,0.7188,25833.5,286.8048087,0.394119686,,,38400,0.591855824
179,283,471,443,443,Manchester Beauty College,Fresno,CA,1,3,11.0,,,,,,,,,0.0,67.0,0.194,0.1045,0.5224,0.1194,0.0597,0.0,0.0,0.0,0.0,0.8955,,13061.0,0.0519,,0.6667,,0.6364,0.0,0.5224,,,,,0.581393023,18200,0.212598428
111,227,434,7306,7306,The Salon Professional Academy-Kokomo,Kokomo,IN,1,3,13.0,,,,,,,,,0.0,68.0,0.8529,0.0735,0.0441,0.0,0.0,0.0,0.0,0.0,0.0294,0.0,,16063.0,0.6444,,0.7857,,,0.5778,0.25,9833,109.1664577,,,0.693161364,,
114,143,287,5969,5969,Irene's Myomassology Institute,Southfield,MI,1,3,13.0,,,,,,,,,0.0,353.0,0.6799,0.2068,0.0255,0.0028,0.0,0.0283,0.0,0.0,0.0567,0.0,,25741.0,0.574,,,,,0.6055,0.6402,6598,73.2513259,0.725988701,,0.80531838,PrivacySuppressed,0.485436887
145,183,314,3350,3350,Phagans School of Hair Design-Portland,Portland,OR,1,3,11.0,,,,,,,,,0.0,132.0,0.6894,0.197,0.0606,0.0152,0.0152,0.0076,0.0,0.0,0.0152,0.0,,8900.0,0.9054,,0.5,,,0.8063,0.4924,16000,177.6328,0.549356223,,0.646691617,16000,0.330357134
168,381,169,1670,1670,McNeese State University,Lake Charles,LA,3,1,13.0,500.0,525.0,,22.0,23.0,22.0,,1030.0,0.0,6777.0,0.7152,0.189,0.0205,0.0145,0.0059,0.0015,0.0164,0.0357,0.0013,0.1208,8515.0,,0.3639,0.6913,,0.25,,0.4129,0.2107,21750,241.4695875,0.695116947,0.379528662,,36800,0.58359623
119,68,376,5808,5808,New York Automotive and Diesel Institute,Jamaica,NY,1,3,11.0,,,,,,,,,0.0,276.0,0.1304,0.5109,0.2717,0.0254,0.0326,0.0036,0.0036,0.0,0.0217,0.0,,20149.0,0.8075,,0.7069,,,0.7854,0.5254,9500,105.469475,0.427145709,,0.588369903,34800,0.429555893
143,275,292,640,640,West Valley College,Saratoga,CA,2,1,21.0,,,,,,,,,0.0,8470.0,0.48,0.0339,0.2318,0.1534,0.0031,0.0039,0.0486,0.0081,0.0372,0.6549,9086.0,,0.1545,,0.726,,0.4201,0.0086,0.3712,PrivacySuppressed,PrivacySuppressed,0.525316456,,0.336727227,33300,0.518518507
79,176,122,834,834,Edison State College,Fort Myers,FL,2,1,21.0,,,,,,,,,0.0,12850.0,0.5377,0.1237,0.2525,0.0174,0.0038,0.0021,0.0119,0.016,0.035,0.6329,11702.0,,0.3995,,,,,0.2507,0.35600000000000004,9750,108.2449875,0.611968385,0.295255712,,32300,0.556291401
228,200,386,1101,1101,Northwest Nazarene University,Nampa,ID,3,2,22.0,525.0,515.0,515.0,25.0,25.0,23.0,,1079.0,0.0,1251.0,0.7354,0.0144,0.0751,0.0144,0.0048,0.0032,0.016,0.0192,0.1175,0.1007,,19101.0,0.3735,0.7603,,1.0,,0.6407,0.2991,26050,289.2084025,0.870185449,0.522475803,,36500,0.614879668
173,197,374,4103,4103,University of Cosmetology Arts & Sciences-McAllen,McAllen,TX,1,3,12.0,,,,,,,,,0.0,173.0,0.0289,0.0,0.9306,0.0,0.0,0.0,0.0,0.0405,0.0,0.6185,,11477.0,0.5791,,0.5,,0.9444,0.481,0.474,6055,67.22291275,0.44499382,,0.797201399,15200,0.140786752
260,303,14,5391,5391,D'Mart Institute,Barranquitas,PR,1,3,21.0,,,,,,,,,0.0,1550.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1684,,10420.0,0.7513,,0.9858,,0.8478,0.0,0.3523,,,,,0.608395885,13800,0.15463917
31,126,299,3698,3698,Providence College,Providence,RI,3,2,12.0,570.0,585.0,585.0,26.0,,,,1158.0,0.0,3969.0,0.7667,0.0411,0.0675,0.0118,0.0013,0.0018,0.0154,0.0186,0.0758,0.0448,,34841.0,0.1341,0.9078,,,,0.5326,0.0689,27000,299.75535,0.956594324,0.858891103,,59600,0.831275702
247,397,413,7198,7198,Virginia College-Spartanburg,Spartanburg,SC,1,3,22.0,,,,,,,,,0.0,495.0,0.4121,0.5475,0.0222,0.0061,0.002,0.0,0.0081,0.0,0.002,0.3636,,16042.0,0.9289,,0.7908,,0.5882,0.8003,0.5818,19000,210.93895,0.256332599,,,26400,0.389043003
253,207,510,333,333,Marinello Schools of Beauty-Ogden,Ogden,UT,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9960,110.576418,0.264615385,,,,
290,134,316,2663,2663,CUNY School of Law at Queens College,Long Island City,NY,4,1,11.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,,62000,0.87378639
237,138,268,4650,4650,ECPI University-Culinary Institute of Virginia,Norfolk,VA,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,222.041,0.528502494,,,,
109,92,203,530,530,Pitzer College,Claremont,CA,3,2,21.0,,,,,,,,,0.0,1081.0,0.4949,0.0472,0.1508,0.0629,0.0037,0.0009,0.0823,0.0509,0.1064,0.0342,,25807.0,0.1614,0.908,,,,0.3625,0.0463,15088,167.5077304,0.942028986,0.843497561,,45300,0.565217376
147,327,161,6805,6805,Advanced Welding Institute,South Burlington,VT,1,3,13.0,,,,,,,,,0.0,53.0,0.9623,0.0,0.0,0.0,0.0,0.0,0.0377,0.0,0.0,0.0,,21154.0,0.5082,,,,,0.7705,0.1698,5077,56.36510785,0.648648649,,PrivacySuppressed,,
59,157,402,4988,4988,Cain's Barber College Inc,Chicago,IL,1,3,11.0,,,,,,,,,0.0,85.0,0.0,0.9647,0.0353,0.0,0.0,0.0,0.0,0.0,0.0,0.1412,,8184.0,0.7284,,0.4545,,0.0,0.5309,0.7412,4475,49.68167375,,,0.438501604,15200,0.301724136
256,383,474,6810,6810,The Ohio Academy Paul Mitchell Partner School-Cleveland,Twinsburg,OH,1,3,21.0,,,,,,,,,0.0,181.0,0.6077,0.3315,0.0221,0.011,0.0,0.0,0.0166,0.0,0.011,0.2762,,12506.0,0.4727,,0.7,,0.4286,0.5703,0.3702,16294,180.8968027,PrivacySuppressed,,0.8793,,
15,361,273,7170,7170,Milan Institute of Cosmetology-El Paso,El Paso,TX,1,3,11.0,,,,,,,,,0.0,458.0,0.0502,0.0459,0.8908,0.0044,0.0087,0.0,0.0,0.0,0.0,0.0,,15270.0,0.4511,,0.5636,,,0.4466,0.4847,14252,158.2264166,0.291276491,,,18900,0.228511527
6,333,259,216,216,American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,2,2,11.0,,,,,,,,,0.0,258.0,0.4612,0.0775,0.1512,0.0116,0.0233,0.0039,0.0271,0.2248,0.0194,0.0,,41436.0,0.4163,,0.633,,,0.5701,0.1589,13240,146.991142,0.681818182,,0.634754783,30200,0.416666657
232,230,342,6779,6779,Studio Academy of Beauty,Chandler,AZ,1,3,21.0,,,,,,,,,0.0,363.0,0.5675,0.1047,0.259,0.0138,0.0386,0.0028,0.0138,0.0,0.0,0.0,,11016.0,0.8227,,0.708,,,0.9086,0.5675,6333,70.30928265,0.545454545,,0.739745205,,
211,254,351,4537,4537,University of Puerto Rico-Aguadilla,Ramey,PR,3,1,21.0,515.0,523.0,,,,,,1038.0,0.0,2886.0,0.0073,0.001,0.9106,0.0003,0.0003,0.0,0.0017,0.0,0.0787,0.0655,2146.0,,0.8109999999999999,0.831,,1.0,,0.116,0.0696,5500,61.061275,PrivacySuppressed,0.345251053,,,
93,103,67,783,783,Beebe Medical Center Margaret H Rollins School of Nursing,Lewes,DE,1,2,32.0,,,,,,,,,0.0,55.0,0.9091,0.0364,0.0182,0.0,0.0,0.0,0.0,0.0364,0.0,0.0,,,0.5,,,,,0.5,0.4909,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,,PrivacySuppressed,PrivacySuppressed
30,312,496,907,907,Miami Lakes Educational Center,Miami Lakes,FL,1,1,21.0,,,,,,,,,0.0,1158.0,0.1874,0.4775,0.3238,0.006,0.0,0.0,0.0052,0.0,0.0,0.3549,9011.0,,0.2675,,0.8032,,0.8984,0.0,0.1891,,,PrivacySuppressed,,0.244164335,31700,0.46808511
22,18,280,5814,5814,Everest Institute-Dearborn,Dearborn,MI,1,3,13.0,,,,,,,,,0.0,666.0,0.3018,0.5165,0.0691,0.009000000000000001,0.0045,0.0045,0.0375,0.0,0.0571,0.0,,25387.0,0.7579,,0.5738,,,0.6323,0.4715,9500,105.469475,0.246345531,,0.640908091,21200,0.30776757
286,273,171,2348,2348,Fort Peck Community College,Poplar,MT,2,1,33.0,,,,,,,,,0.0,350.0,0.0914,0.0114,0.0086,0.0086,0.8686,0.0,0.0,0.0,0.0114,0.3486,2137.0,,0.3584,,0.4444,,0.0,0.0,0.5259,,,,,0.159996,16300,0.24848485
296,363,328,3442,3442,Calvary Baptist Theological Seminary,Lansdale,PA,4,2,21.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,,,PrivacySuppressed
56,109,238,4900,4900,Upper Cape Cod Regional Technical School,Bourne,MA,1,1,22.0,,,,,,,,,0.0,59.0,0.7966,0.0,0.0678,0.0,0.0169,0.0,0.1186,0.0,0.0,0.0,20928.0,,0.5254,,1.0,,,0.7966,0.7119,9500,105.469475,0.586206897,,0.913392126,PrivacySuppressed,PrivacySuppressed
177,224,127,6637,6637,Strayer University-North Charlotte,Charlotte,NC,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39499.5,438.525424,0.444774917,,,51700,0.722576857
10,210,472,2031,2031,Northwestern Michigan College,Traverse City,MI,2,1,33.0,,,,,,,,,0.0,4241.0,0.863,0.0257,0.0116,0.02,0.0054,0.0007,0.0217,0.0047,0.0472,0.5513,8333.0,,0.4131,,,,,0.3904,0.3597,15888,176.3893704,0.620921802,0.1519,,28200,0.446093738
221,98,368,5060,5060,The Bryman School of Arizona,Phoenix,AZ,1,3,11.0,,,,,,,,,0.0,594.0,0.271,0.0657,0.3451,0.0253,0.1094,0.0,0.0421,0.0,0.1414,0.0,,26667.0,0.7003,,0.7919,,,0.7947,0.5101,10976,121.8561008,0.471404959,,0.828375603,27700,0.419608533
246,40,403,2574,2574,Adelphi University,Garden City,NY,3,2,21.0,550.0,570.0,560.0,22.0,23.0,25.0,8.0,1098.0,0.0,5000.0,0.5296,0.1062,0.1336,0.0756,0.0016,0.002,0.022,0.0396,0.0898,0.0952,,32781.0,0.2951,0.8112,,0.3333,,0.6059,0.1562,25000,277.55125,0.873628994,0.641871328,,50600,0.766710341
81,301,64,1357,1357,Indiana University-Southeast,New Albany,IN,3,1,21.0,475.0,475.0,460.0,20.0,19.0,20.0,7.0,950.0,0.0,5699.0,0.8579,0.0602,0.0288,0.014,0.0018,0.0018,0.0239,0.0033,0.0084,0.3608,11550.0,,0.3439,0.6081,,0.4583,,0.4133,0.3053,22915,254.4034758,0.720419847,0.288737682,,34000,0.605985045
